/*
 hashOutputObj7.1.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 8017
*/

Script started on Tue 05 May 2020 09:40:25 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
8 words in bucket 0
5 words in bucket 1
8 words in bucket 2
5 words in bucket 3
6 words in bucket 4
6 words in bucket 5
6 words in bucket 6
9 words in bucket 7
12 words in bucket 8
11 words in bucket 9
6 words in bucket 10
9 words in bucket 11
7 words in bucket 12
8 words in bucket 13
7 words in bucket 14
11 words in bucket 15
6 words in bucket 16
10 words in bucket 17
7 words in bucket 18
7 words in bucket 19
9 words in bucket 20
6 words in bucket 21
4 words in bucket 22
7 words in bucket 23
7 words in bucket 24
8 words in bucket 25
6 words in bucket 26
7 words in bucket 27
8 words in bucket 28
6 words in bucket 29
9 words in bucket 30
6 words in bucket 31
6 words in bucket 32
13 words in bucket 33
10 words in bucket 34
5 words in bucket 35
6 words in bucket 36
8 words in bucket 37
10 words in bucket 38
9 words in bucket 39
9 words in bucket 40
6 words in bucket 41
5 words in bucket 42
5 words in bucket 43
9 words in bucket 44
8 words in bucket 45
4 words in bucket 46
7 words in bucket 47
12 words in bucket 48
4 words in bucket 49
5 words in bucket 50
8 words in bucket 51
5 words in bucket 52
7 words in bucket 53
8 words in bucket 54
9 words in bucket 55
8 words in bucket 56
15 words in bucket 57
7 words in bucket 58
6 words in bucket 59
6 words in bucket 60
7 words in bucket 61
12 words in bucket 62
8 words in bucket 63
3 words in bucket 64
3 words in bucket 65
14 words in bucket 66
7 words in bucket 67
8 words in bucket 68
8 words in bucket 69
11 words in bucket 70
7 words in bucket 71
10 words in bucket 72
8 words in bucket 73
8 words in bucket 74
7 words in bucket 75
7 words in bucket 76
10 words in bucket 77
5 words in bucket 78
9 words in bucket 79
3 words in bucket 80
6 words in bucket 81
4 words in bucket 82
11 words in bucket 83
14 words in bucket 84
3 words in bucket 85
9 words in bucket 86
11 words in bucket 87
4 words in bucket 88
3 words in bucket 89
4 words in bucket 90
6 words in bucket 91
12 words in bucket 92
8 words in bucket 93
4 words in bucket 94
3 words in bucket 95
10 words in bucket 96
3 words in bucket 97
15 words in bucket 98
11 words in bucket 99
15 words in bucket 100
12 words in bucket 101
4 words in bucket 102
4 words in bucket 103
6 words in bucket 104
13 words in bucket 105
8 words in bucket 106
6 words in bucket 107
9 words in bucket 108
5 words in bucket 109
5 words in bucket 110
8 words in bucket 111
6 words in bucket 112
5 words in bucket 113
5 words in bucket 114
5 words in bucket 115
10 words in bucket 116
8 words in bucket 117
9 words in bucket 118
3 words in bucket 119
8 words in bucket 120
6 words in bucket 121
8 words in bucket 122
9 words in bucket 123
10 words in bucket 124
9 words in bucket 125
4 words in bucket 126
4 words in bucket 127
8 words in bucket 128
10 words in bucket 129
9 words in bucket 130
9 words in bucket 131
4 words in bucket 132
3 words in bucket 133
3 words in bucket 134
7 words in bucket 135
3 words in bucket 136
10 words in bucket 137
3 words in bucket 138
6 words in bucket 139
9 words in bucket 140
13 words in bucket 141
12 words in bucket 142
5 words in bucket 143
9 words in bucket 144
13 words in bucket 145
4 words in bucket 146
10 words in bucket 147
