/* 
 hashOutputObj7.2.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 11037
*/
Script started on Tue 05 May 2020 09:41:10 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
8 words in bucket 0
8 words in bucket 1
3 words in bucket 2
5 words in bucket 3
7 words in bucket 4
7 words in bucket 5
8 words in bucket 6
6 words in bucket 7
6 words in bucket 8
7 words in bucket 9
5 words in bucket 10
6 words in bucket 11
5 words in bucket 12
9 words in bucket 13
3 words in bucket 14
2 words in bucket 15
7 words in bucket 16
4 words in bucket 17
5 words in bucket 18
4 words in bucket 19
5 words in bucket 20
4 words in bucket 21
5 words in bucket 22
3 words in bucket 23
10 words in bucket 24
6 words in bucket 25
4 words in bucket 26
3 words in bucket 27
5 words in bucket 28
4 words in bucket 29
6 words in bucket 30
6 words in bucket 31
9 words in bucket 32
5 words in bucket 33
7 words in bucket 34
10 words in bucket 35
7 words in bucket 36
2 words in bucket 37
5 words in bucket 38
8 words in bucket 39
7 words in bucket 40
10 words in bucket 41
4 words in bucket 42
8 words in bucket 43
9 words in bucket 44
5 words in bucket 45
5 words in bucket 46
4 words in bucket 47
2 words in bucket 48
4 words in bucket 49
6 words in bucket 50
6 words in bucket 51
4 words in bucket 52
5 words in bucket 53
8 words in bucket 54
6 words in bucket 55
6 words in bucket 56
3 words in bucket 57
1 words in bucket 58
6 words in bucket 59
9 words in bucket 60
7 words in bucket 61
3 words in bucket 62
7 words in bucket 63
7 words in bucket 64
4 words in bucket 65
3 words in bucket 66
4 words in bucket 67
3 words in bucket 68
8 words in bucket 69
6 words in bucket 70
1 words in bucket 71
5 words in bucket 72
5 words in bucket 73
7 words in bucket 74
8 words in bucket 75
2 words in bucket 76
5 words in bucket 77
5 words in bucket 78
5 words in bucket 79
1 words in bucket 80
5 words in bucket 81
2 words in bucket 82
7 words in bucket 83
2 words in bucket 84
5 words in bucket 85
6 words in bucket 86
1 words in bucket 87
12 words in bucket 88
5 words in bucket 89
6 words in bucket 90
3 words in bucket 91
3 words in bucket 92
7 words in bucket 93
8 words in bucket 94
5 words in bucket 95
3 words in bucket 96
4 words in bucket 97
6 words in bucket 98
5 words in bucket 99
3 words in bucket 100
5 words in bucket 101
5 words in bucket 102
6 words in bucket 103
5 words in bucket 104
7 words in bucket 105
6 words in bucket 106
10 words in bucket 107
6 words in bucket 108
3 words in bucket 109
9 words in bucket 110
4 words in bucket 111
4 words in bucket 112
4 words in bucket 113
3 words in bucket 114
8 words in bucket 115
6 words in bucket 116
8 words in bucket 117
9 words in bucket 118
4 words in bucket 119
11 words in bucket 120
12 words in bucket 121
5 words in bucket 122
5 words in bucket 123
4 words in bucket 124
3 words in bucket 125
9 words in bucket 126
1 words in bucket 127
3 words in bucket 128
10 words in bucket 129
7 words in bucket 130
9 words in bucket 131
10 words in bucket 132
8 words in bucket 133
2 words in bucket 134
3 words in bucket 135
2 words in bucket 136
1 words in bucket 137
3 words in bucket 138
1 words in bucket 139
8 words in bucket 140
5 words in bucket 141
4 words in bucket 142
9 words in bucket 143
3 words in bucket 144
9 words in bucket 145
4 words in bucket 146
2 words in bucket 147
3 words in bucket 148
6 words in bucket 149
6 words in bucket 150
5 words in bucket 151
8 words in bucket 152
5 words in bucket 153
8 words in bucket 154
7 words in bucket 155
5 words in bucket 156
6 words in bucket 157
5 words in bucket 158
6 words in bucket 159
2 words in bucket 160
3 words in bucket 161
5 words in bucket 162
7 words in bucket 163
7 words in bucket 164
5 words in bucket 165
7 words in bucket 166
6 words in bucket 167
5 words in bucket 168
5 words in bucket 169
5 words in bucket 170
8 words in bucket 171
2 words in bucket 172
6 words in bucket 173
6 words in bucket 174
5 words in bucket 175
6 words in bucket 176
5 words in bucket 177
4 words in bucket 178
8 words in bucket 179
5 words in bucket 180
5 words in bucket 181
3 words in bucket 182
4 words in bucket 183
5 words in bucket 184
7 words in bucket 185
5 words in bucket 186
6 words in bucket 187
7 words in bucket 188
8 words in bucket 189
3 words in bucket 190
7 words in bucket 191
2 words in bucket 192
9 words in bucket 193
8 words in bucket 194
5 words in bucket 195
5 words in bucket 196
5 words in bucket 197
5 words in bucket 198
4 words in bucket 199
3 words in bucket 200
3 words in bucket 201
4 words in bucket 202
4 words in bucket 203
6 words in bucket 204
6 words in bucket 205
5 words in bucket 206
4 words in bucket 207
6 words in bucket 208
3 words in bucket 209
5 words in bucket 210
5 words in bucket 211
6 words in bucket 212
3 words in bucket 213
2 words in bucket 214
4 words in bucket 215
6 words in bucket 216
5 words in bucket 217
6 words in bucket 218
1 words in bucket 219
2 words in bucket 220
6 words in bucket 221
8 words in bucket 222
5 words in bucket 223
7 words in bucket 224
4 words in bucket 225
5 words in bucket 226
4 words in bucket 227
6 words in bucket 228
9 words in bucket 229
6 words in bucket 230
4 words in bucket 231
6 words in bucket 232
6 words in bucket 233
8 words in bucket 234
3 words in bucket 235
8 words in bucket 236
6 words in bucket 237
1 words in bucket 238
6 words in bucket 239
3 words in bucket 240
3 words in bucket 241
8 words in bucket 242
7 words in bucket 243
9 words in bucket 244
9 words in bucket 245
5 words in bucket 246
5 words in bucket 247
7 words in bucket 248
6 words in bucket 249
3 words in bucket 250
4 words in bucket 251
4 words in bucket 252
1 words in bucket 253
1 words in bucket 254
7 words in bucket 255
6 words in bucket 256
5 words in bucket 257
8 words in bucket 258
4 words in bucket 259
7 words in bucket 260
8 words in bucket 261
11 words in bucket 262
7 words in bucket 263
7 words in bucket 264
10 words in bucket 265
6 words in bucket 266
6 words in bucket 267
5 words in bucket 268
4 words in bucket 269
4 words in bucket 270
8 words in bucket 271
1 words in bucket 272
5 words in bucket 273
4 words in bucket 274
9 words in bucket 275
5 words in bucket 276
5 words in bucket 277
3 words in bucket 278
6 words in bucket 279
5 words in bucket 280
7 words in bucket 281
5 words in bucket 282
6 words in bucket 283
3 words in bucket 284
4 words in bucket 285
2 words in bucket 286
3 words in bucket 287
7 words in bucket 288
2 words in bucket 289
5 words in bucket 290
4 words in bucket 291
1 words in bucket 292
2 words in bucket 293
6 words in bucket 294
5 words in bucket 295
3 words in bucket 296
5 words in bucket 297
6 words in bucket 298
1 words in bucket 299
8 words in bucket 300
6 words in bucket 301
7 words in bucket 302
5 words in bucket 303
5 words in bucket 304
7 words in bucket 305
7 words in bucket 306
12 words in bucket 307
2 words in bucket 308
9 words in bucket 309
4 words in bucket 310
6 words in bucket 311
5 words in bucket 312
4 words in bucket 313
7 words in bucket 314
6 words in bucket 315
6 words in bucket 316
4 words in bucket 317
1 words in bucket 318
4 words in bucket 319
5 words in bucket 320
8 words in bucket 321
7 words in bucket 322
9 words in bucket 323
5 words in bucket 324
4 words in bucket 325
8 words in bucket 326
6 words in bucket 327
5 words in bucket 328
3 words in bucket 329
7 words in bucket 330
8 words in bucket 331
3 words in bucket 332
9 words in bucket 333
1 words in bucket 334
4 words in bucket 335
7 words in bucket 336
7 words in bucket 337
7 words in bucket 338
8 words in bucket 339
10 words in bucket 340
4 words in bucket 341
5 words in bucket 342
5 words in bucket 343
3 words in bucket 344
5 words in bucket 345
4 words in bucket 346
3 words in bucket 347
4 words in bucket 348
4 words in bucket 349
4 words in bucket 350
5 words in bucket 351
6 words in bucket 352
8 words in bucket 353
6 words in bucket 354
3 words in bucket 355
6 words in bucket 356
2 words in bucket 357
12 words in bucket 358
5 words in bucket 359
2 words in bucket 360
5 words in bucket 361
11 words in bucket 362
7 words in bucket 363
7 words in bucket 364
6 words in bucket 365
7 words in bucket 366
6 words in bucket 367
4 words in bucket 368
9 words in bucket 369
9 words in bucket 370
4 words in bucket 371
4 words in bucket 372
3 words in bucket 373
2 words in bucket 374
7 words in bucket 375
2 words in bucket 376
6 words in bucket 377
7 words in bucket 378
7 words in bucket 379
